de,dsb
"Das wird spätestens im Herbst sein, erklärte die Politikerin.","To buźo nejpózdźej nazymu, politikaŕka jo rozkładła."
Die Lausitz ist vielfältig!,Łužyca jo wjelebocna!
"Noch ist unklar, wo das Bündnis konkret agieren wird.","Hyšći njejo jasne, źo co zwězkaŕstwo konkretnje agěrowaś."
"Zu seinen Aufgaben gehört, mehrere Gemeinden zu vereinen.","K jogo nadawkam słuša, někotare wósady zjadnośiś."
Die wenigsten Stimmen hatte bei den letzten Wahlen unser alter Chef.,Nejmjenjej głosow jo měł pśi slědnych wólbach naš stary šef.
Ein Tag in Südtirol war spielfrei.,Jaden źeń w Pódpołdnjowem Tirolu jo bźez graśow.
Die Baukosten liegen nach ersten Berechnungen bei rund 405000 Euro.,Twaŕske kosty wugótuju pó prědnych woblicenjach něźi 405000 euro.
"Der ""Archiv"" Ordner auf:",Archiwowym zarědniku na:
Wir brauchen einen beständigen inneren Dialog.,Trjebamy wobstawny nutśikowny dialog.
Die Präsentation kürzlich in Brüssel bewerte ich als einen Erfolg.,Prezentaciju njedawno w Brüsselu pógódnośujom ako wuspěch.
"Er hat als bewusster Sorbe versucht, die Interessen unseres Volkes durchzusetzen.","Wón jo ako wědobny Serb wopytał, zajmy našogo luda pśesajźiś."
"Der wichtigste Punkt ist sicher das Ziel des Lehrers, dem Schüler die Informationen zu vermitteln.","Nejwažnjejšy dypk jo zawěsće zaměr wucabnika,  pósrědnjaś wuknikoju informacije."
Die Regierung hat vor Ort über die Digitalisierung beraten.,Kněžaŕstwo jo na městnje wó digitalizaciji wobradowało.
Er wird neuer Direktor der Stiftung für das sorbische Volk.,Wón buźo nowy direktor Załožby za serbski lud.
Der Dachverband Domowina wird es in ihrem Auftrag betreiben.,Domowina jen w jeju nadawku wobgóspodarijo.
Wie stellen Sie sich die Lausitz von morgen vor?,Kak sebje witśejšu Łužycu pśedstajaśo?
Als erstes wurde die Stange auf 85cm eingestellt.,Ako prědne jo se žerź na 85 cm nastajiła. 
"§§ 9, 19 Brandenburgisches Denkmalschutzgesetz (BbgDSchG)","§§ 9, 19 bramborskeje kazni za woplěwanje pomnikow  (BbgDSchG)"
„Benutzungsentgelt für 12 Monate: EUR 0  – 30 “,Wužywaŕski płaśonk za 12 mjasecow: 0 do 30 euro.
Auch im Branitzer Park bei Cottbus sollen Dreharbeiten stattfinden.,Teke w Rogeńskem parku pla Chóśebuza maju se  wjerśeńske źěła wótměś.
Überaus gut angenommen ist diese Initiative.,Pśeliš derje jo se  toś ta iniciatiwa pśiwzeła.
"Die Planungen sind weit fortgeschritten, und eine Autobahn ist schnell gebaut.","Planowanja su daloko pókšacowali, a awtodroga jo malsnje twarjona."
Das Gehalt wird nach TV-L gezahlt.,Myto płaśimy pó TV-L.
So entstehen fantasievolle Kostüme im technischen Retro-Look.,Tak nastanu fantazije połne kostimy techniskego retro-looka.
