hsb,dsb
Pjeć tonow ćežka mašina je na dróhu padnyła.,Pěś tonow śěžka mašina jo na drogu padnuła.
"Michał wočini kófer, ale njeměješe hižo dźěćace woči.","Michał jo wótcynił kofer, ale njejo wěcej źiśece wócy měł."
My pak mějachmy jeničke přeće: wróćo do stareje domizny!,My pak smy měli jadnučke žycenje: slědk do stareje domownje!
Za to je ministerstwo internetnu platformu wutworiło.,Za to jo ministaŕstwo wutwóriło internetnu platformu.
"Wuprudźowaše wokoło sebje błyšć, kotryž we mni hoberski zaćišć zawostaji.","Wupromjenił jo wokoło sebje błyšć, kótaryž we mnjo jo zawóstajił wjelicki zaśišć."
Kotre temy byšće Wy za zajimawu nowinu namjetowali?,Kótare temy by wy naraźili za zajmny casnik?
"Nawoči běchu ćěmne kaž škleńcy awta, kotrež bě runje widźał.","Bryla jo była śamna ako głažki awta, kótarež běšo rowno wiźeł."
Nimale hodźinu dyrbješe so ćěsto z rukomaj měšeć.,Pśisamem góźinu jo se musało śěsto z rukoma měšaś.
2plus je šulske družiny přesahowacy koncept.,2plus jo šulske formy pśesegajucy koncept.
Započało je so wšo z tymi morjenymi žonami.,Zachopiło jo se wšo z tymi wusmjerśonymi žeńskimi.
"Kaž bě wučinjene, zetkachmy so zaso, Jurij, Měrćin a ja.","Ako jo było wugótowane, smy se zasej zmakali, Jurij, Měrćin a ja."
Naš kraj je najjužniši z třoch baltiskich republikow.,Naš kraj jo nejwěcej południski z tśich baltiskich republikow.
To je potajnstwo a ma tež potajnstwo wostać.,To jo pótajmstwo a ma teke pótajmstwo wóstaś.
526 hłosow bě předskok Šimana před Urbanom.,526 głosow jo był pśedskok Šymana pśed Urbanom.
Při awtowym njezbožu njejsu so jeje płuca zranili.,Pśi awtowem znjeglucenju njejsu se jeje płuca zranili.
W nowembrje 2001 započachu so prěnje dźěła za nowotwar.,W nowembrje 2001 su se zachopili prědne źěła za nowotwaŕ.
Srjedź lěta ma posudk z namjetami předležeć.,Srjejź lěta dej pśedlažaś pósudk z naraźenjami.
Atlas płaća předewzaća a rjemjeslniske komory.,Atlas płaśe pśedewześa a rucnikaŕske komory.
Šěroki byrgarski a nadstronski angažement je za to dobry zakład.,Šyroki bergaŕski a nadstroński angažement jo za to dobry zakład.
W srjedźišću programa pak steješe mjezsobna wuměna mjeńšin.,W srjejźišću programa pak jo stojała mjazsobna wuměna mjeńšynow.
Woni su pod mjenowanej tragediju mentalnje ćerpjeli.,Wóni su mentalnje śerpjeli pód pomjenjoneju tragediju.
Njewšědny koncert dožiwichu přitomni w Budyskej cyrkwi Našeje lubeje knjenje.,Njewšedny koncert su dožywili pśibytne w Budyšyńskej cerkwi Našeje lubeje kněni.
"W lisće prosymy wo pomoc, dokelž njemóžemy tole sami zmištrować.","W lisće pšosymy wó pomoc, dokulaž njamóžomy to sami zmejstrowaś."
"Nasta pjekarnja, kiž bě za swoje wosebite pječwo znata.","Nastała jo pjakaŕnja, kótaraž jo była za swójo wósebne pjacywo znata."
Wottam poda so ze swojim přichodnym mandźelskim do Šwedskeje.,Wóttam se wudajo ze swójim pśichodnym manźelskim do Šwedskeje.
"Dźěła maja so nětko zakónčić, zdźěli Sakska krajna direkcija Sakska.","Źěła maju se něnto zakóńcyś, jo k wěsći dała sakska krajna direkcija."
W prašenju ćěkancow diskutowachu delegaća zaso wosebje dołho.,W pšašanju wuběgańcow su delegaty zasej wósebnje dłujko diskutěrowali.
K wulkemu wjeselu wosady zwonjachu k hodam zaso zwony.,Na wjelike wjasele wósady su ku gódam zasej zwónili zwóny.
Mój muž je chory a njemóže hižo sam dale.,Mój cłowjek jo chóry a njamóžo wěcej sam dalej.
"Cyły kónc tydźenja bjez swojeho wóslika, kak to drje budźe?","Ceły kóńc tyźenja bźez swójogo wóslika, kak drje to buźo?"
Namołwa k měrej steji w srjedźišću jutrowneho poselstwa bamža.,Napominanje k měroju stoj w srjejźišću jatšownego pósołstwa bamža.
"Město leži w ruskej republice Baškirskej, hdźež so baškirsce rěči.","Město lažy w ruskej republice Baškirskej, źož se powěda baškirski."
Na kóncu swoje žiwjenja běch 80 lět stary.,Na kóńcu swójogo žywjenja som był 80 lět stary.
Hižo tydźeń dožiwimy dotal njeznatu wuwzaćnu situaciju.,Južo tyźeń dožywijomy doněnta njeznatu wuwześowu situaciju.
Zdobom maja w tym zwisku tež swójske stejišćo zdźěłać.,Zrazom maju w tom zwisku teke zdźěłaś swójske stojnišćo.
"Tak poskićeja projekt lětanskeho simulatora, kotryž ma w Kamjencu nastać.","Tak póbituju projekt lětańskego simulatora, kótaryž ma nastaś w Kamjeńcu."
Zemrěty běše hač do kónca při połnym wědomju.,Wumrěty jo był až do kóńca pśi połnem wědobnju.
Dospołny přehlad wobdźělnikow ma zarjadowar.,Dopołny pśeglěd wobźělnikow ma zarědowaŕ.
Do wosebitych hospodarskich conow měli nowych mjezynarodnych inwestorow wabić.,Do wósebnych góspodaŕskich conow měli nawabiś nowe mjazynarodne inwestory.
Nimo toho so skała pod zemju ze seismiskimi měrjenjemi přeswětluje.,Mimo togo se skała pód zemju ze seismiskimi měrjenjami pśeswětlujo.
Thesaurus instaluje resp. aktualizuje so awtomatisce z downloadom prawopisneje kontrole.,Thesaurus instalěrujo resp. aktualizěrujo se awtomatiski z downloadom pšawopisneje kontrole.
"Po tym bě wón kapłan we Worbisu, Berlinje a Erfurće.","Pó tom jo wón był kapłan we Worbisu, Barlinju a Jarobroźe."
Kak předstajiće sej wy wosobinsce našu hudźbu přichoda?,Kak pśedstajaśo sebje wy wósobinski našu muziku pśichoda?
"Z nim bě wotrostła, njebě pak system ženje připóznała.","Z nim jo wótrosła, njejo pak system žednje pśipóznała."
"Peter dyrbješe dźensa doma wostać, dokelž ma wón pneumoniju.","Pětš jo musał źinsa doma wóstaś, dokulaž ma wón pneumoniju."
Energijowy koncern Vattenfall twari dalšu připrawu k rjedźenju jamoweje wody.,Energijowy koncern Vattenfall twari dalšnu pśipšawu k rěšenju jamoweje wódy.
Pjeć městnow w knize wěnuje so serbskim stawiznam.,Pěś městnow w knigłach pósćiwa se serbskim stawiznam.
Tysacy přihladowarjow na kromje dróhi 600 wuměłcam přikleskowachu.,Towzynty pśiglědowarjow na kšomje drogi su 600 wuměłcam pśiklaskowali.
Wobroći so k nanej a mjezwočo k njemu pozběhny.,Jo se k nanoju wobrośiła a jo woblico k njomu zwignuła.
