de,hsb
"Ludwig stützt sich auf das Kriegszepter, das Zeichen militärischer Macht.","Ludwig zepěra so na wójnski ceptar, znamjo wojerskeje mocy."
Und schon lagen wir zusammen mit ihr im Schlamm.,A hižo ležachmoj zdobom z njej w błóće.
Zufrieden ging er nun zu dem großen Sacklager.,Spokojom dźěše wón nětko k wulkemu składej měchow.
"Deaktivieren Sie App-Berechtigungen, die Sie nicht benötigen.","Deaktiwěrujće app-prawa, kotrež njetrjebaće."
Es gibt dafür verschiedene Mittel gegen Insekten sowie schützende Decken.,Eksistuja za to wšelke srědki přećiwo insektam kaž tež škitace přikrywy.
Braunerde ist ein guter Ackerboden.,Bruna zemja je dobra rólniska póda.
Ich halte auch die Übersetzung des Wortes „indigen“ als Einheimischer nicht für hilfreich.,Nimam tež přełožk słowa „indigen“ jako domoródny za spomóžny.
"Wenn es nötig ist, bitte deine Mitschüler um Aufmerksamkeit und Ruhe.","Hdyž je trjeba, proš swojich sobušulerjow wo kedźbnosć a měr."
Damit legte Wolfram Weimer einen seltsam gehemmten Konservatismus an den Tag.,Z tym pokaza Wolfram Weimer spodźiwnje zdźeržliwy konserwatizm.
Jeanshosen kaufen ohne Anprobe?,Jeansowe cholowy kupić bjez proby?
"Er wollte keine plebiszitäre, sondern eine repräsentative Demokratie.","Nochcyše žanu plebiscitarnu, ale reprezentatiwnu demokratiju."
"In dieser Zeit entstanden die Veden: der Rigveda, der Samaveda, der Yajurveda und der Atharvaveda.","W tutym času nastachu vedy: rigveda, samaveda, yajurveda a atharvaveda."
Diese Räume sind zu Konflikträumen geworden.,Tute rumy stachu so z konfliktnymi rumami.
Die CDU hat doch die besseren Gegenargumente.,CDU ma tola lěpše napřećiwne argumenty.
Das Kreuz steht auf halbem Weg zwischen Laske und Ralbitz.,Křiž steji na poł puća mjez Łazkom a Ralbicami.
Es bannte die Zweifel.,Wona zaćěrješe dwěle.
"„Wir freuen uns über jedmögliche Unterstützung“, betonten die Vertreter der ehrenamtlichen Vereinigung.","„Wjeselimy so nad kóždejžkuli podpěru“, zastupjerjo čestnohamtskeho zjednoćenstwa wuzběhnychu."
Peter Bichsel war nicht so naiv wie er manchmal zu sein vorgab.,"Peter Bichsel njebě tak naiwny, kaž so druhdy wudawaše być."
Sondern weil er keinen anderen Weg sah.,Ale dokelž žadyn druhi puć njewidźeše.
"Sie stellt fest, dass im vergangenen Jahr die sächsische Verfassung geändert wurde.","Wona zwěsći, zo bu loni sakska wustawa změnjena."
Doch 1955 setzten sich die rechtskonservativen und nationalistischen Kräfte durch.,Tola 1955 přesadźichu so prawicarskokonserwatiwne a nacionalistiske mocy.
Der Richter fällt ein wohlwollendes Urteil.,Sudnik twori derje měnjacy posudk.
Sie schätze Präsident Macron sehr.,Wona sej prezidenta Macrona jara waži.
Ich hatte in dieser Szene den Hysteriker Hitler ohne Maske gesehen.,Běch w tutej scenje hysterikarja Hitlera bjez maski widźał.
"Ach, ihr seid nicht die Ludken?","Ach, njejsće lutki?"
Verfasse ein Flugblatt über den Wormser Reichstag zur Information der Bevölkerung.,Napisaj lětak wo Wormskim mócnarskim sejmje jako informaciju za ludnosć.
"Egal wie schlimm es wird, sie wird an dieser Krankheit nicht sterben.","Wšojedne kak zlě budźe, wona njebudźe na tutu chorosć zemrěć."
Darüber hinaus erstellen sie Datenbanken und programmieren Internetlösungen.,Nimo toho nastajeja datowe banki a programěruja internetne rozrisanja.
"Sondern eine nachdenkende, gebildete, neugierige, Fragen stellende Frau.","Ale přemyslowaca, zdźěłana, wćipna, prašaca so žona."
Nahaufnahme der Formen im Kaffeesatz.,Fotografija z bliskosće formow w mućenku.
"An der Tür der anderen Klassen hängen Giraffen, Krokodile oder Füchse.","Při durjach tamnych rjadownjow wisaja girafy, krokodile abo liški."
Wie kann der Ausstoß des Kohlendioxids verringert werden oder sogar umgangen werden?,Kak hodźi so wustork wuhlikoweho dioksyda pomjeńšić abo samo wobeńć?
"Nun war uns klar, dass wir uns gründlich verlaufen haben.","Nětko bě namaj jasne, zo smój so porjadnje zabłudźiłoj."
Auch dort habe ich etwas vom neuen Europa erlebt.,Tež tam sym nazhonił čwak noweje Europy.
"Erstens, die Zahnwale.","Sprěnja, zubate wjelryby."
Derzeit arbeiten in der bekannten Lausitzer Ölmühle regulär achtzehn Personen.,Tuchwilu dźěła w znatej Łužiskej woleńcy regularnje wosomnaće ludźi.
Zwei Gedichte Gomringers sollen stattdessen Gomringers Wortkunst bezeugen.,Město toho matej basni Gomringera Gomringerowu słownu wustojnosć wobswědčić.
"Jean-Baptiste Colbert ist Finanzminister Ludwigs XIV., er vollendete den Merkantilismus.","Jean-Baptiste Colbert je financny minister Ludwiga XIV., wón dokónči merkantilizm."
Das konnte der Wolf nicht ablehnen und darum ging er mit ihr.,To njemóžeše wjelk wotpokazać a tuž dźěše z njej.
Alle Außenstände sollten in Schenkungen umgewandelt werden.,Wšitke požčene pjenjezy mějachu so na darjenja přeměnić.
Die würzige Saftigkeit des Wildschweinbratens war ein Genuss.,Korjenita juškojtosć pječenje dźiwjeho swinjeća bě słódnosć.
Der aufmerksamen Bürgerin haben sie gedankt.,Kedźbliwej wobydlerce su so dźakowali.
In einigen Betrieben war Schichtarbeit üblich.,W někotrych zawodach bě dźěło w změnach z wašnjom.
Das Smartphone großer Kälte aussetzen.,Šmóratko wulkej zymje wustajić.
"Sondern spalten, aufregen, zum Widerspruch reizen, die Sinne strapazieren.","Ale pača, rozbudźuja, k přećiwkej wabja, zmysły strapacěruja."
Meist starben sie im Amt.,Zwjetša zemrěchu w zastojnstwje.
Samsonovs Schlag ist ein Vorbild für viele Tischtennisspieler.,Samsonowy dyr je přikład mnohim blidotenistam.
"Ich weiß selbst nicht mal, ob ich seine Worte richtig wiedergegeben habe.","Sam ani njewěm, hač sym jeho słowa prawje reprodukował."
In Brandenburg trägt die SPD in dem Sondierungspapier diese Formulierung mit.,W Braniborskej njese SPD w sonděrowanskej papjerje tutu formulaciju sobu.
"Das erste Rendezvous, die erste Anstellung, die Hochzeit, das Kinderkriegen sind solche Situationen.","Prěni rendezvous, prěnje přistajenje, kwas, porodźenje dźěći su tajke situacije."
Im abgelaufenen Geschäftsjahr wurden in mehreren Bereichen Kapitalerhöhungen vorgenommen.,W zakónčenym wobchodnym lěće su so we wjacorych wobłukach zwyšenja kapitala předwjedli.
So haben wir zur Vogelhochzeit Teigelstern aus Hefeteig gebacken.,Tak smy k ptačemu kwasej sroki z droždźoweho ćěsta pjekli.
